r, s, d
1000, 1000, 3.467197620999741
1000, 2000, 3.32466051099982
1000, 4000, 3.3193884820002495
1000, 6000, 3.3173673840001356
1000, 8000, 3.3196764190001886
1000, 10000, 4.21649457400008
3000, 1000, 6.710436471999856
3000, 2000, 4.941102373999911
3000, 4000, 4.831347725999876
3000, 6000, 4.544962697999836
3000, 8000, 4.497813709000184
3000, 10000, 4.1937273830003505
10000, 1000, 17.52280689500003
10000, 2000, 10.248422080000182
10000, 4000, 7.656820168000195
10000, 6000, 7.203694656999687
10000, 8000, 7.771238030999939
10000, 10000, 8.738459721000254
30000, 1000, 47.68612175199996
30000, 2000, 25.755085597999823
30000, 4000, 15.576914781000596
30000, 6000, 15.231016582000848
30000, 8000, 15.77287900400006
30000, 10000, 15.91933107100067
100000, 1000, 154.34956710299957
100000, 2000, 79.40260354800012
100000, 4000, 43.04927748800037
100000, 6000, 38.61031424700013
100000, 8000, 41.197923868000544
100000, 10000, 43.25759029800065
300000, 1000, 456.8907160709996
300000, 2000, 232.75204911400033
300000, 4000, 120.75418750599965
300000, 6000, 100.90085004400044
300000, 8000, 104.45722904499962
300000, 10000, 108.8641521340005
